author,reviewedPaper 
Bo Li 0013,Towards the Extraction of Hierarchical Building Descriptions from 3D Indoor Scans.
Bo Li 0013,Data motifs - a lens towards fully understanding big data and AI workloads.
Bo Li 0013,Structural internal deterioration detection with motion vector field image analysis using monocular camera.
Henry Johan,Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.
Henry Johan,Biased reference counting - minimizing atomic operations in garbage collection.
Henry Johan,Person Re-Identification from Depth Cameras using Skeleton and 3D Face Data.
Henry Johan,Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.
Henry Johan,RGB-D Object-to-CAD Retrieval.
Yijuan Lu,Human detection from still depth images.
Sanjeev Mk,MemoDyn - exploiting weakly consistent data structures for dynamic parallel memoization.
Sanjeev Mk,Shape Retrieval of Non-Rigid 3D Human Models.
Sanjeev Mk,Partial Matching of Deformable Shapes.
Sanjeev Mk,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Sanjeev Mk,Near-side prefetch throttling - adaptive prefetching for high-performance many-core processors.
Rodrigo Schulz,Point Cloud Compression using Depth Maps.
Rodrigo Schulz,A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.
Rodrigo Schulz,Partial Matching of Deformable Shapes.
Pablo Guerrero,Enhancing Power Quality in Microgrids With a New Online Control Strategy for DSTATCOM Using Reinforcement Learning Algorithm.
Pablo Guerrero,Depth Estimation Algorithm for Color Coded Aperture Camera.
Pablo Guerrero,3D Mesh Unfolding via Semidefinite Programming.
Pablo Guerrero,Shape Retrieval of Non-Rigid 3D Human Models.
Pablo Guerrero,Directed Curvature Histograms for Robotic Grasping.
Benjamin Bustos,Energy-Efficient WiFi Offloading and Network Management in Heterogeneous Wireless Networks.
Benjamin Bustos,Performing Image-like Convolution on Triangular Meshes.
Benjamin Bustos,Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.
Benjamin Bustos,A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.
Konstantinos Sfikas,Automatic annotation of tasks in structured code.
Konstantinos Sfikas,Retrieval of Surfaces with Similar Relief Patterns.
Konstantinos Sfikas,Matching of Deformable Shapes with Topological Noise.
Konstantinos Sfikas,3D Autostereoscopic Display Image Generation Framework using Direct Light Field Rendering.
Theoharis Theoharis,MemoDyn - exploiting weakly consistent data structures for dynamic parallel memoization.
Theoharis Theoharis,Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.
Theoharis Theoharis,Range Scans based 3D Shape Retrieval.
Theoharis Theoharis,GSHOT - a Global Descriptor from SHOT to Reduce Time and Space Requirements.
Ioannis Pratikakis,Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.
Ioannis Pratikakis,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
Ioannis Pratikakis,Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.
Ioannis Pratikakis,Performing Image-like Convolution on Triangular Meshes.
Quentin De Smedt,RGB-D to CAD Retrieval with ObjectNN Dataset.
Quentin De Smedt,Bag of Compact HKS-based Feature Descriptors.
Quentin De Smedt,Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.
Quentin De Smedt,Human detection from still depth images.
Hazem Wannous,Guard-ring monitoring system for inspecting defects in TSV-based data buses.
Hazem Wannous,Engineering commitment-based business protocols with the 2CL methodology.
Hazem Wannous,Extended Large Scale Sketch-Based 3D Shape Retrieval.
Jean-Philippe Vandeborre,Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.
Jean-Philippe Vandeborre,3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.
Joris Guerry,Markerless Motion Capture with Multi-view Structured Light.
Bertrand Le Saux,RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.
Bertrand Le Saux,Engineering commitment-based business protocols with the 2CL methodology.
Bertrand Le Saux,Accelerating the Computation of Canonical Forms for 3D Nonrigid Objects using Multidimensional Scaling.
Bertrand Le Saux,Biased reference counting - minimizing atomic operations in garbage collection.
David Filliat,Depth Estimation Algorithm for Color Coded Aperture Camera.
David Filliat,"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network."
Na Song,Depth Assisted Composition of Synthetic and Real 3D Scenes.
Na Song,Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.
Na Song,Partial Shape Queries for 3D Object Retrieval.
Na Song,Experimental Similarity Assessment for a Collection of Fragmented Artifacts.
Daniela Craciun,Canonical Forms for Non-Rigid 3D Shape Retrieval.
Daniela Craciun,VW-SLP - auto-vectorization with adaptive vector width.
Daniela Craciun,Edge-based LBP Description of Surfaces with Colorimetric Patterns.
Charles Christoffer,Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.
Charles Christoffer,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
Charles Christoffer,Revealing parallel scans and reductions in recurrences through function reconstruction.
Charles Christoffer,Temporal Ensemble of Shape Functions.
Charles Christoffer,MemoDyn - exploiting weakly consistent data structures for dynamic parallel memoization.
Xusi Han,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
Xusi Han,3D-Xpath - high-density managed DRAM architecture with cost-effective alternative paths for memory transactions.
Xusi Han,Bag of Compact HKS-based Feature Descriptors.
Xusi Han,Near-side prefetch throttling - adaptive prefetching for high-performance many-core processors.
Xusi Han,Non-rigid 3D Model Classification Using 3D Hahn Moment Convolutional Neural Networks.
Daisuke Kihara,3D Object Retrieval with Parametric Templates.
Daisuke Kihara,Implementation of 3D Object Reconstruction Using Multiple Kinect Cameras.
Guillaume Levieux,"Towards automated, high resolution 3D scanning of large surfaces for cultural heritage documentation."
Guillaume Levieux,Hybrid optimization/heuristic instruction scheduling for programmable accelerator codesign.
Guillaume Levieux,Copper micro and nano particles mixture for 3D interconnections application.
Guillaume Levieux,Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.
Guillaume Levieux,Energy-Efficient Joint Power Allocation in Uplink Massive MIMO Cognitive Radio Networks With Imperfect CSI.
Matthieu Montes,Human detection from still depth images.
Matthieu Montes,On-the-fly workload partitioning for integrated CPU/GPU architectures.
Matthieu Montes,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.
Hong Qin,Energy-Efficient Tracking and Localization of Objects in Wireless Sensor Networks.
Hong Qin,Exploiting the PANORAMA Representation for Convolutional Neural Network Classification and Retrieval.
Hong Qin,Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).
Hong Qin,RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.
Pranjal Sahu,Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.
Pranjal Sahu,A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.
Genki Terashi,Temporal Domain Stereo Matching based on Feature Points for Restriction of Error Propagation.
Genki Terashi,Engineering commitment-based business protocols with the 2CL methodology.
Haiguang Liu,E-PUR - an energy-efficient processing unit for recurrent neural networks.
Haiguang Liu,Geodesic-based 3D Shape Retrieval Using Sparse Autoencoders.
Haiguang Liu,Guard-ring monitoring system for inspecting defects in TSV-based data buses.
Haiguang Liu,Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.
Xueqing Zhao,Manifold Harmonic Transform and Spatial Relationships for Partial 3D Object Retrieval.
Robert Gregor,Energy-Efficient WiFi Offloading and Network Management in Heterogeneous Wireless Networks.
Robert Gregor,3D Sketch-Based 3D Shape Retrieval.
Robert Gregor,Engineering commitment-based business protocols with the 2CL methodology.
Pavlos Mavridis,3D Volume Matching for Mesh Animation of Moving Actors.
Pavlos Mavridis,Im2Fit - Fast 3D Model Fitting and Anthropometrics using Single Consumer Depth Camera and Synthetic Data.
Pavlos Mavridis,Efficient Filling of Disparity Holes Using Resolution Decoupling.
Tobias Schreck,RGB-D Object-to-CAD Retrieval.
Shuaifeng Zhi,Non-rigid 3D Shape Retrieval.
Shuaifeng Zhi,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
Shuaifeng Zhi,Retrieval of Human Subjects from Depth Sensor Data.
Yongxiang Liu,Compiler assisted coalescing.
Xiang Li,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
Yulan Guo,Point-Cloud Shape Retrieval of Non-Rigid Toys.
Yulan Guo,PhiGARo - Automatic Phishing Detection and Incident Response Framework.
Yulan Guo,RGB-D to CAD Retrieval with ObjectNN Dataset.
Hameed Abdul-Rashid,Mobile version of Digital Image Correlation for deformation measurements of engineering objects.
Juefei Yuan,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Juefei Yuan,Temporal Ensemble of Shape Functions.
Juefei Yuan,2D Scene Sketch-Based 3D Scene Retrieval.
Juefei Yuan,Point Cloud Compression using Depth Maps.
Bo Li,Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.
Yijuan Lu,Enhancing decentralized service discovery in open service-oriented multi-agent systems.
Song Bai,Computing in 3D.
Song Bai,Large Scale Comprehensive 3D Shape Retrieval.
Xiang Bai,Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.
Xiang Bai,Architectural support for convolutional neural networks on modern CPUs.
Ngoc-Minh Bui,Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.
Ngoc-Minh Bui,3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.
Ngoc-Minh Bui,Depth Estimation Algorithm for Color Coded Aperture Camera.
Ngoc-Minh Bui,Performance extraction and suitability analysis of multi- and many-core architectures for next generation sequencing secondary analysis.
Ngoc-Minh Bui,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
Minh N. Do,3D Objects Exploration - Guidelines for Future Research.
Minh N. Do,GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.
Minh N. Do,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Minh N. Do,Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.
Trong-Le Do,Energy-Efficient WiFi Offloading and Network Management in Heterogeneous Wireless Networks.
Trong-Le Do,"Towards automated, high resolution 3D scanning of large surfaces for cultural heritage documentation."
Trong-Le Do,A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.
Anh Duc Duong,E-PUR - an energy-efficient processing unit for recurrent neural networks.
Xinwei He,Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.
Xinwei He,Experimental Similarity Assessment for a Collection of Fragmented Artifacts.
Xinwei He,MemoDyn - exploiting weakly consistent data structures for dynamic parallel memoization.
Tu-Khiem Le,3D Autostereoscopic Display Image Generation Framework using Direct Light Field Rendering.
Tu-Khiem Le,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
Tu-Khiem Le,Im2Fit - Fast 3D Model Fitting and Anthropometrics using Single Consumer Depth Camera and Synthetic Data.
Wenhui Li,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
Anan Liu,Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.
Anan Liu,LightNet - A Lightweight 3D Convolutional Neural Network for Real-Time 3D Object Recognition.
Anan Liu,3D Object Retrieval with Multimodal Views.
Xiaolong Liu,Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.
Khac-Tuan Nguyen,Matching of Deformable Shapes with Topological Noise.
Khac-Tuan Nguyen,Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.
Khac-Tuan Nguyen,Protein Shape Retrieval.
Vinh-Tiep Nguyen,Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.
Vinh-Tiep Nguyen,Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).
Vinh-Tiep Nguyen,3D system integration research at IMEC.
Weizhi Nie,Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.
Van-Tu Ninh,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
Van-Tu Ninh,Large-Scale 3D Shape Retrieval from ShapeNet Core55.
Yuting Su,Maximizing system utilization via parallelism management for co-located parallel applications.
